"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.redcentreglobal.com/","text/html; charset=utf-8","200","OK","Indexable","","Red Centre Global | Expert Negotiation Training & Emotional Regulation","70","632","Transform your organisation's approach to negotiations with evidence-based training for emotional regulation, decision making, and conflict resolution in high-pressure situations.","179","1101","","0","Master Negotiation in High-Pressure Situations","46","","0","Join over 1000+ professionals","29","Join over 1000+ professionals","29","","","","","","","","","","196229","38285","38285","14.666","","1572","270","5.822","33.501","Hard","6.564","0","0","","171","167","0","100.000","46","21","0","4","4","0","","","","","61ac99ab7f2e787e6f7a3589b64e7a7","0.108","Sat, 28 Feb 2026 11:21:44 GMT","","","","en","1.1","","","","","","https://www.redcentreglobal.com/","2026-03-04 05:55:41"
"https://www.redcentreglobal.com/one-on-one","text/html; charset=utf-8","200","OK","Indexable","","Coaching 1:1 | Transform Your Critical Negotiations with Personalised Coaching","78","709","Navigate high-stakes situations with confidence using Scott's proven methodology for emotional regulation, strategic decision making, and conflict resolution.","158","974","","0","1:1 Negotiation Coaching","24","","0","Join over 1000+ professionals","29","Join over 1000+ professionals","29","","","","","","","","","","185890","33780","33780","12.940","","977","184","5.310","49.131","Hard","4.357","1","0","","260","167","0","100.000","41","21","0","4","3","0","","","","","7eab7293205929f8a9afd7e3df0195fd","0.036","Sun, 01 Mar 2026 22:03:28 GMT","","","","en","1.1","","","","","","https://www.redcentreglobal.com/one-on-one","2026-03-04 05:55:42"
"https://www.redcentreglobal.com/terms-of-service","text/html; charset=utf-8","200","OK","Indexable","","Terms of Service | Red Centre Global","36","328","Read our terms of service for using Red Centre Global's negotiation training and emotional regulation resources and services.","125","769","","0","Terms of Service","16","","0","Join over 1000+ professionals","29","Join over 1000+ professionals","29","","","","","","","","","","107962","29750","29750","11.397","","3373","433","7.790","57.243","Fairly Hard","20.797","1","0","","113","87","0","52.100","60","21","0","2","2","0","","","","","37054b17dbd4832d3d219654f00ccf50","0.062","Mon, 23 Feb 2026 11:53:54 GMT","","","","en","1.1","","","","","","https://www.redcentreglobal.com/terms-of-service","2026-03-04 05:55:42"
"https://www.redcentreglobal.com/solutions/sales-business-dev","text/html; charset=utf-8","200","OK","Indexable","","Sales Negotiation Training | Emotional Regulation for Commercial Teams","70","652","Transform your sales team's negotiation capabilities with research-based frameworks for emotional regulation, strategic questioning, and value-based propositions that drive results.","181","1119","","0","Close More Deals, Build Stronger Relationships: Let's Talk Sales Communication","78","","0","Join over 1000+ professionals","29","Join over 1000+ professionals","29","","","","","","","","","","162124","31024","31024","11.885","","853","157","5.433","53.841","Fairly Hard","4.436","1","1","","259","167","0","100.000","42","21","0","2","2","0","","","","","8531d92c68d18221524b55d4a5258de7","0.125","Tue, 24 Feb 2026 01:39:04 GMT","","","","en","1.1","","","","","","https://www.redcentreglobal.com/solutions/sales-business-dev","2026-03-04 05:55:42"
"https://www.redcentreglobal.com/privacy-policy","text/html; charset=utf-8","200","OK","Indexable","","Privacy Policy | Red Centre Global","34","299","Read our Privacy Policy to understand how Red Centre Global handles your data with the same care and attention we bring to our negotiation training programmes.","159","1010","","0","Privacy policy","14","","0","Join over 1000+ professionals","29","Join over 1000+ professionals","29","","","","","","","","","","102230","28668","28668","10.982","","2914","399","7.303","54.029","Fairly Hard","19.549","1","0","","105","87","0","52.100","52","21","0","3","3","0","","","","","29b60213616e4d9ca9f9c06683c71672","0.256","Mon, 23 Feb 2026 11:59:04 GMT","","","","en","1.1","","","","","","https://www.redcentreglobal.com/privacy-policy","2026-03-04 05:55:43"
"https://www.redcentreglobal.com/about","text/html; charset=utf-8","200","OK","Indexable","","About | Meet Scott Walker: Global Authority on Negotiation & Emotional Regulation","81","734","Scott Walker is a leading authority in negotiation, with over 300 successful resolutions in crisis situations. His evidence-based approach combines emotional regulation with strategic frameworks for exceptional outcomes.","220","1356","","0","Meet Scott Walker","17","","0","Join over 1000+ professionals","29","Join over 1000+ professionals","29","","","","","","","","","","81436","22780","22780","8.727","","388","73","5.315","32.894","Hard","5.300","1","0","","259","167","0","100.000","42","21","0","2","2","0","","","","","548c89bcabe9240718b0b75601244561","0.256","Sat, 28 Feb 2026 14:46:00 GMT","","","","en","1.1","","","","","","https://www.redcentreglobal.com/about","2026-03-04 05:55:43"
"https://www.redcentreglobal.com/newsletter-signup","text/html; charset=utf-8","200","OK","Indexable","","Newsletter Subscription","23","214","Transform your organisation's approach to negotiations with evidence-based training for emotional regulation, decision making, and conflict resolution in high-pressure situations.","179","1101","","0","Sign up for exclusive access to our weekly newsletter","53","","0","Join over 1000+ professionals","29","Join over 1000+ professionals","29","","","","","","","","","","76553","21933","21933","8.402","","301","60","5.017","37.040","Hard","4.768","1","0","","171","167","0","100.000","40","21","0","2","2","0","","","","","3a9f20459e3495e43a46dda228c24dad","0.036","Thu, 26 Feb 2026 01:03:43 GMT","","","","en","1.1","","","","","","https://www.redcentreglobal.com/newsletter-signup","2026-03-04 05:55:43"
"https://www.redcentreglobal.com/courses","text/html; charset=utf-8","200","OK","Indexable","","Courses | Master Negotiation Skills & Emotional Regulation at Your Own Pace","75","688","Self-paced digital programmes designed to transform your communication effectiveness and negotiation outcomes through evidence-based frameworks.","144","946","","0","Master Negotiation Skills at Your Own Pace","42","","0","Join over 1000+ professionals","29","Join over 1000+ professionals","29","","","","","","","","","","187607","34893","34893","13.367","","1043","182","5.731","49.176","Hard","4.593","1","0","","258","167","0","100.000","44","22","0","3","3","0","","","","","5a245e825e66a76a5b34706cb6810d62","0.027","Mon, 23 Feb 2026 22:32:54 GMT","","","","en","1.1","","","","","","https://www.redcentreglobal.com/courses","2026-03-04 05:55:43"
"https://www.redcentreglobal.com/resources/media-podcasts","text/html; charset=utf-8","200","OK","Indexable","","Media & Podcasts | Expert Negotiation & Emotional Intelligence Resources","72","659","Discover our latest multimedia resources on negotiation training, emotional regulation techniques, decision making frameworks, and conflict resolution strategies.","162","997","","0","Media And Podcasts","18","Essential Insights on Mastering your negotiation","48","Join over 1000+ professionals","29","Join over 1000+ professionals","29","","","","","","","","","","214599","33546","33546","12.851","","1972","375","5.259","60.783","Normal","6.505","1","1","","260","167","0","100.000","42","21","0","40","20","0","","","","","873cb58a6207c8ab53b9bec8f9fd590c","0.028","Tue, 03 Mar 2026 04:59:28 GMT","","","","en","1.1","","","","","","https://www.redcentreglobal.com/resources/media-podcasts","2026-03-04 05:55:43"
"https://www.redcentreglobal.com/solutions/leaders-managers","text/html; charset=utf-8","200","OK","Indexable","","Leadership Negotiation Training | Emotional Regulation for Executives","69","622","Equip your leadership team with the emotional regulation and negotiation frameworks needed to excel in high-stakes business conversations and strategic decision-making scenarios.","178","1123","","0","Negotiation & Emotional Regulation Training for Leaders & Executives","68","","0","Join over 1000+ professionals","29","Join over 1000+ professionals","29","","","","","","","","","","162762","30251","30251","11.589","","888","160","5.550","53.342","Fairly Hard","4.554","1","1","","259","167","0","100.000","42","21","0","2","2","0","","","","","8ab1c97b643a4c3ddde4d1188307cb63","0.031","Mon, 23 Feb 2026 15:50:29 GMT","","","","en","1.1","","","","","","https://www.redcentreglobal.com/solutions/leaders-managers","2026-03-04 05:55:44"
