ID,Title,Project,Assignee,Status,Priority,Due Date,Days Overdue,Estimate,Triage Decision,New Due Date,Notes
PORG-48,[P2] Marketing Lifecycle Journey Analysis,(no project),daz,Backlog,High,2025-10-14,144,,,,
PORG-46,[P2] Marketing Lifecycle Journey Analysis - HubSpot to Customer.io,(no project),daz,Backlog,High,2025-10-14,144,,,,
PORG-47,[P2] Marketing Lifecycle Journey Analysis - HubSpot to Customer.io,(no project),daz,Backlog,High,2025-10-14,144,,,,
DLVRY-349,Setup Cookie Functions,(no project),elfajri,Duplicate,High,2025-12-03,94,,,,
DLVRY-618,Experiment with free Weavy,(no project),sean,In Progress,High,2026-03-05,2,2,,,
ANI6-2,Finalize Single Sitemap Version,ANI6-Beta-AST,prj-website-rev@animocabrands.com,In Review,High,2025-11-11,116,2,,,
ANI6-10,Create Clickable Desktop Prototype with Annotations - for Derek,ANI6-Beta-AST,prj-website-rev@animocabrands.com,In Review,Urgent,2025-11-13,114,3,,,
ANI6-51,Integrate Press Coverage Collection into Sitemap,ANI6-Beta-AST,daz,In Review,High,2025-11-29,98,1,,,
ANI6-60,Develop Legal ME page build and deploy (separate domain),ANI6-Beta-AST,elfajri,Backlog,High,2025-11-30,97,1,,,
ANI6-75,"Finalize ""List of Portfolio"" Strategy",ANI6-Beta-AST,prj-website-rev@animocabrands.com,In Progress,High,2025-12-11,86,2,,,
ANI6-78,Clarify Stablecoin CTA Component Behavior,ANI6-Beta-AST,prj-website-rev@animocabrands.com,In Review,High,2025-12-14,83,2,,,
ANI6-68,Animoca Middle East team to provide contents for Cookie policies,ANI6-Beta-AST,prj-website-rev@animocabrands.com,In Progress,Medium,2025-12-14,83,2,,,
ANI6-70,Implement Cookie Policy for UAE site,ANI6-Beta-AST,elfajri,Backlog,Medium,2025-12-17,80,1,,,
ANI6-77,Design team to Review and Approve Webflow Design Tweaks,ANI6-Beta-AST,prj-website-rev@animocabrands.com,Todo,High,2025-12-18,79,5,,,
ANI6-53,Portfolio Page Data Collection (Defer to January),ANI6-Beta-AST,prj-website-rev@animocabrands.com,Backlog,Low,2025-12-18,79,5,,,
ANI6-17,Final Invoicing & Payment Collection,ANI6-Beta-AST,rohan,Backlog,Low,2026-01-14,52,1,,,
AST-265,Address UAT Feedback & Bug Fixes,ANI6-Beta-AST,sean,Backlog,High,2026-02-05,30,5,,,
AST-101,Reply to Advsior's email,AST-Internal-Commercial,daz,Backlog,High,2025-10-05,153,,,,
AST-85,Internal Tech Stack Migration,AST-Internal-Commercial,daz,Backlog,High,2025-10-05,153,5,,,
AST-291,Champion the New Animoca Contract for 3-year win,AST-Internal-Commercial,rohan,In Progress,High,2026-03-01,6,3,,,
DLVRY-23,Linear Integration for Client Feedback Loop,AST-Internal-Operations,daz,Todo,High,2024-08-29,555,,,,
AST-5,🚨 P0: Linear Workspace Configuration,AST-Internal-Operations,daz,Backlog,Medium,2025-09-05,183,,,,
AST-74,Platforms planning with seniors,AST-Internal-Operations,daz,In Review,Medium,2025-09-21,167,8,,,
